"","lemma","freq1000","cum_freq","fit","lwr","upr","fit_diff"
"1","mousavi",20.0752823086575,21.1575333909086,2.13358070500928,1.63599847809755,2.63116293192101,89.9157398663207
"2","cutoff",2.01207243460765,11.3983317453416,1.16867259724403,0.331328594898082,2.00601659958997,89.7469855821519
"3","villager",3.76411543287327,34.4201869887915,3.53298366326396,2.41049262520416,4.65547470132377,89.7357220505094
"4","subset",58.3501006036217,80.7005682969664,8.58809242023277,6.56210247755949,10.614082362906,89.3580768990005
"5","pahang",8.13953488372093,9.77085625403088,1.04093839819778,0.295114865928797,1.78676193046676,89.3464976749776
"6","tacit",37.261698440208,39.9037063662318,4.30269862238158,2.97301183809831,5.63238540666486,89.2172957998139
"7","illicit",9.51248513674197,10.1490223741704,1.10333121154254,0.790572626975418,1.41608979610967,89.1286946578169
"8","tehsil",4.49438202247191,22.8144493233196,2.73455917020273,1.70567953435404,3.76343880605142,88.0139155170946
"9","planted",2.32558139534884,20.2662765133846,2.44770805518469,1.91985276456655,2.97556334580283,87.9222606403888
"10","copernicus",1.18906064209275,10.2403531163802,1.2421328266957,0.352155193093771,2.13211046029762,87.8702148980701
"11","seagrasses",4.82315112540193,33.0922962984054,4.11522633744856,-0.305745369704797,8.53619804460191,87.5643977669605
"12","punjab",38.2022471910112,74.1874720894254,9.6749095020626,6.48612239934445,12.8636966047807,86.9588365399478
"13","dendrochronological",8.79120879120879,9.3753209407415,1.22385402759235,0.959926382283273,1.48778167290142,86.9460039253275
"14","konstantinovskaya",17.3310225303293,18.6537738530806,2.46913580246913,1.84223934271177,3.0960322622265,86.7633443939208
"15","revised",2.01207243460765,8.5768523642492,1.23539982030548,0.835957052460216,1.63484258815075,85.5961165257434
"16","convective",67.3262972735268,77.9776241686192,11.7350845883397,10.7096220831359,12.7605470935435,84.9507025721075
"17","motovilov",6.93240901213172,15.2420819381397,2.37818704717659,1.85339711829259,2.9029769760606,84.397229611883
"18","specimen",1.37233658360419,29.8706734666064,4.71232311565416,3.57016295480306,5.85448327650526,84.2242488408497
"19","classifier",26.1593341260404,44.6056503464609,7.13861884649604,5.73382983538555,8.54340785760653,83.9961556640269
"20","metabolism",1.31926121372032,10.4215862184421,1.68636395051489,0.931120106145289,2.4416077948845,83.8185482020894
"21","polymictic",9.23482849604222,15.0339669675369,2.46632517548852,1.75298113509127,3.17966921588578,83.5949807471701
"22","dimictic",6.59630606860158,7.50539697769249,1.25541125541126,0.783061968044357,1.72776054277815,83.2732198024624
"23","kernel",2.52444189527445,19.6360451985886,3.33761628174092,2.57271432193967,4.10251824154217,83.0026044043694
"24","ecotone",11.7216117216117,18.2120127395915,3.18243297983121,2.32380911636996,4.04105684329247,82.5256382952509
"25","integer",5.55555555555556,10.4744098136067,1.83792815371763,1.24366943944958,2.43218686798567,82.4531578731044
"26","tanjung",9.64630225080386,11.0547529550292,1.94500335345406,1.21319459837858,2.67681210852953,82.4057275511598
"27","maxar",1.18906064209275,7.34909619624356,1.32022216152235,0.823487729300949,1.81695659374376,82.0355846995556
"28","pixels",2.37812128418549,8.47421912618588,1.57336677687835,1.20643463189316,1.94029892186354,81.4334895823434
"29","treeline",12.4542124542125,13.6532532215985,2.53511476533059,1.98383661465141,3.08639291600978,81.4321559544489
"30","olivera",12.5,13.9044943820225,2.62172284644195,1.95608559422766,3.28736009865623,81.1447811447811
"31","gunya",3.66300366300366,8.57459501860288,1.63719711853307,-0.121637401503382,3.39603163856952,80.9064204783886
"32","keywords",1.46520146520147,7.20420471735754,1.38853217359047,0.393660649810244,2.38340369737069,80.7260866665131
"33","bhalli",1.25470514429109,8.54634668815751,1.68687401159726,0.758301229583937,2.61544679361058,80.2620456067535
"34","resuspension",1.60771704180064,16.4637741509574,3.25696316262354,2.03152869068112,4.48239763456596,80.2173964926861
"35","permutation",3.37078651685393,10.5607758229503,2.13053501868193,0.604024750632229,3.65704528673163,79.8259611377043
"36","branching",1.38888888888889,6.99246903023605,1.42033758748456,1.08909408772488,1.75158108724424,79.6876098936885
"37","schema",6.03621730382294,10.3922343381371,2.11113028142014,1.56222398270152,2.66003658013876,79.6855015704103
"38","gelfan",5.19930675909879,11.6718465955792,2.37818704717659,1.85339711829259,2.9029769760606,79.6245861552246
"39","ferreira",3.56718192627824,8.64531783364899,1.78166504697117,1.20559792599705,2.35773216794529,79.3915610593674
"40","kalugin",8.66551126516464,14.2436366496559,2.98892738265064,2.34435658554774,3.63349817975353,79.0157004410609
